"29";"ESPUMA FLEX 50X50 PLANCHA 2CM";"12";"0.4406";"5";"5.02";"PROESCOLAR";"0.41857";"12";"0.6";"0000-00-00 00:00:00";"2016-05-19 13:19:44";"A"
"30";"ESPUMA FLEX BOLA N? 04";"25";"0.06";"5";"1.43";;"0.057";"25";"0.0741";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"31";"ESPUMA FLEX BOLA N? 05";"25";"0.0694";"5";"1.65";;"0.06593";"25";"0.085709";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"32";"ESPUMA FLEX BOLA N? 06";"12";"0.105";"5";"1.2";;"0.09975";"12";"0.129675";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"33";"ESPUMA FLEX BOLA N? 07";"12";"0.1367";"5";"1.56";;"0.129865";"12";"0.168824";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"34";"ESPUMA FLEX BOLA N? 10";"12";"0.2799";"5";"3.19";;"0.265905";"12";"0.345677";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"35";"FOMIX ESCARCHA A4";"12";"0.2114";"5";"2.41";"PROESCOLAR";"0.20083";"12";"0.261079";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"36";"FOMIX INEN A4 20 COLORES";"12";"0.0941";"5";"1.07";"PROESCOLAR";"0.089395";"12";"0.116214";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"37";"FORMATO 120GR F-A4";"250";"0.0136";"5";"3.23";"PROESCOLAR";"0.01292";"250";"0.016796";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"38";"FORMATO MARGEN A4";"100";"0.0295";"5";"2.8";;"0.028025";"100";"0.0364325";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"39";"FORRO INDIVIDUAL DISNEY GRANDE";"100";"0.065";"5";"6.18";;"0.06175";"100";"0.080275";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"40";"FORRO MICA CUADERNO ACADEMICO";"30";"0.2295";"5";"6.54";;"0.218025";"30";"0.283433";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"41";"FORRO MICA CUADERNO JUNIOR";"30";"0.146";"5";"4.16";;"0.1387";"30";"0.18031";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"42";"FORRO PLASTICO  NA/COSIDO 10X16 X3.5";"50";"0.065";"5";"3.09";;"0.06175";"50";"0.080275";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"43";"FORRO PLASTICO ACADEMICO 12X18 X3.5";"100";"0.0794";"5";"7.54";"PROESCOLAR";"0.07543";"100";"0.098059";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"44";"FORRO PLASTICO CARPETA CARIOCA3.5";"50";"0.1081";"5";"5.13";"PROESCOLAR";"0.102695";"50";"0.133503";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"45";"FORROS";"24";"0.15";"0";"3.6";"TEMPORADA";"0.15";"24";"0.195";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"46";"FORROS PLASTICO CUADERNO 9X13 X3.5";"100";"0.0425";"5";"4.04";;"0.040375";"100";"0.0524875";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"47";"FORROS PLASTICOS 12X18";"50";"0.078";"0";"3.9";"TEMPORADA";"0.078";"50";"0.1014";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"48";"FUNDA REGALO 02 MEDIUM T/0";"12";"0.2977";"5";"3.39";"PROESCOLAR";"0.282815";"12";"0.36766";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"49";"GOMA BIOPLAST PEQUE?A 50gr";"12";"0.1295";"5";"1.48";"PROESCOLAR";"0.123025";"12";"0.159932";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"50";"GOMA ESCARCHADA PITUKO 60gr";"12";"0.3554";"5";"4.05";"PROESCOLAR";"0.33763";"12";"0.438919";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"51";"GRADUADOR CRISTAL 180 GRADOS";"25";"0.1793";"5";"4.26";"PROESCOLAR";"0.170335";"25";"0.221436";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"52";"LANA ESCOLAR OVILLA 15GR";"12";"0.3333";"5";"3.8";"PROESCOLAR";"0.316635";"12";"0.5";"0000-00-00 00:00:00";"2016-05-18 12:01:36";"A"
"53";"LAPIZ BICOLOR FEBER CASTEL";"12";"0.2598";"5";"2.96";"PROESCOLAR";"0.24681";"12";"0.320853";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"54";"LAPIZ MONGOL TRIANGULAR";"24";"0.2069";"5";"4.72";"PROESCOLAR";"0.196555";"24";"0.255522";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"55";"LAPIZ NORICA STEAD. HB";"12";"0.161";"5";"1.84";;"0.15295";"12";"0.25";"0000-00-00 00:00:00";"2016-05-21 20:25:24";"A"
"56";"LAPIZ STEADTREL NUMERADO(TODOS)";"48";"0.5685";"5";"25.92";"PROESCOLAR";"0.540075";"48";"0.702097";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"57";"LENTEJUELA  FI. BARRILITO (20)";"20";"0.1772";"5";"3.37";"PROESCOLAR";"0.16834";"20";"0.218842";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"58";"LIBRETA ESCRIBE 100H NRO 1";"12";"0.2992";"0";"3.59";"PROESCOLAR";"0.2992";"12";"0.38896";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"59";"LIGAS PARA BILLETES(KILO)";"1";"3.85";"5";"3.66";"PROESCOLAR";"3.6575";"1";"4.75475";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
"60";"LUPA PLASTICA LANCER 60MM";"12";"0.4838";"5";"5.52";"PROESCOLAR";"0.45961";"12";"0.597493";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"A"
